datetime,FE_MW
2016-01-01 00:00:00,6846.0
2016-01-01 12:00:00,7117.0
2016-01-02 00:00:00,6868.0
2016-01-02 12:00:00,7579.0
2016-01-03 00:00:00,7025.0
2016-01-03 12:00:00,7384.0
2016-01-04 00:00:00,7254.0
2016-01-04 12:00:00,8932.0
2016-01-05 00:00:00,8209.0
2016-01-05 12:00:00,9172.0
2016-01-06 00:00:00,8209.0
2016-01-06 12:00:00,8802.0
2016-01-07 00:00:00,7827.0
2016-01-07 12:00:00,8497.0
2016-01-08 00:00:00,7611.0
2016-01-08 12:00:00,8644.0
2016-01-09 00:00:00,6932.0
2016-01-09 12:00:00,7134.0
2016-01-10 00:00:00,6470.0
2016-01-10 12:00:00,7252.0
2016-01-11 00:00:00,7723.0
2016-01-11 12:00:00,9553.0
2016-01-12 00:00:00,8393.0
2016-01-12 12:00:00,9265.0
2016-01-13 00:00:00,8730.0
2016-01-13 12:00:00,9760.0
2016-01-14 00:00:00,8495.0
2016-01-14 12:00:00,8931.0
2016-01-15 00:00:00,7505.0
2016-01-15 12:00:00,8433.0
2016-01-16 00:00:00,7048.0
2016-01-16 12:00:00,8020.0
2016-01-17 00:00:00,7179.0
2016-01-17 12:00:00,7807.0
2016-01-18 00:00:00,8300.0
2016-01-18 12:00:00,9905.0
2016-01-19 00:00:00,8959.0
2016-01-19 12:00:00,9875.0
2016-01-20 00:00:00,8676.0
2016-01-20 12:00:00,9733.0
2016-01-21 00:00:00,8543.0
2016-01-21 12:00:00,9399.0
2016-01-22 00:00:00,8181.0
2016-01-22 12:00:00,9427.0
2016-01-23 00:00:00,8009.0
2016-01-23 12:00:00,8524.0
2016-01-24 00:00:00,7671.0
2016-01-24 12:00:00,7907.0
2016-01-25 00:00:00,7618.0
2016-01-25 12:00:00,8872.0
2016-01-26 00:00:00,7416.0
2016-01-26 12:00:00,8766.0
2016-01-27 00:00:00,7688.0
2016-01-27 12:00:00,8888.0
2016-01-28 00:00:00,7899.0
2016-01-28 12:00:00,8712.0
2016-01-29 00:00:00,7564.0
2016-01-29 12:00:00,9061.0
2016-01-30 00:00:00,7772.0
2016-01-30 12:00:00,7691.0
2016-01-31 00:00:00,6600.0
2016-01-31 12:00:00,6787.0
2016-02-01 00:00:00,6438.0
2016-02-01 12:00:00,8267.0
2016-02-02 00:00:00,7523.0
2016-02-02 12:00:00,8511.0
2016-02-03 00:00:00,7220.0
2016-02-03 12:00:00,7970.0
2016-02-04 00:00:00,7255.0
2016-02-04 12:00:00,8702.0
2016-02-05 00:00:00,7807.0
2016-02-05 12:00:00,8467.0
2016-02-06 00:00:00,7187.0
2016-02-06 12:00:00,7469.0
2016-02-07 00:00:00,6889.0
2016-02-07 12:00:00,6958.0
2016-02-08 00:00:00,6710.0
2016-02-08 12:00:00,8507.0
2016-02-09 00:00:00,7439.0
2016-02-09 12:00:00,8936.0
2016-02-10 00:00:00,7971.0
2016-02-10 12:00:00,9203.0
2016-02-11 00:00:00,8402.0
2016-02-11 12:00:00,9532.0
2016-02-12 00:00:00,8648.0
2016-02-12 12:00:00,9506.0
